"Date" "Freq" "Day" "Month" "Week"
"1" 2015-01-01 1243 "Thu" "01" 2014-12-29
"2" 2015-01-02 666 "Fri" "01" 2014-12-29
"3" 2015-01-03 1022 "Sat" "01" 2014-12-29
"4" 2015-01-04 984 "Sun" "01" 2014-12-29
"5" 2015-01-05 537 "Mon" "01" 2015-01-05
"6" 2015-01-06 526 "Tue" "01" 2015-01-05
"7" 2015-01-07 477 "Wed" "01" 2015-01-05
"8" 2015-01-08 517 "Thu" "01" 2015-01-05
"9" 2015-01-09 639 "Fri" "01" 2015-01-05
"10" 2015-01-10 1080 "Sat" "01" 2015-01-05
"11" 2015-01-11 1103 "Sun" "01" 2015-01-05
"12" 2015-01-12 538 "Mon" "01" 2015-01-12
"13" 2015-01-13 535 "Tue" "01" 2015-01-12
"14" 2015-01-14 488 "Wed" "01" 2015-01-12
"15" 2015-01-15 518 "Thu" "01" 2015-01-12
"16" 2015-01-16 740 "Fri" "01" 2015-01-12
"17" 2015-01-17 1099 "Sat" "01" 2015-01-12
"18" 2015-01-18 1100 "Sun" "01" 2015-01-12
"19" 2015-01-19 807 "Mon" "01" 2015-01-19
"20" 2015-01-20 606 "Tue" "01" 2015-01-19
"21" 2015-01-21 630 "Wed" "01" 2015-01-19
"22" 2015-01-22 565 "Thu" "01" 2015-01-19
"23" 2015-01-23 737 "Fri" "01" 2015-01-19
"24" 2015-01-24 1161 "Sat" "01" 2015-01-19
"25" 2015-01-25 1164 "Sun" "01" 2015-01-19
"26" 2015-01-26 494 "Mon" "01" 2015-01-26
"27" 2015-01-27 504 "Tue" "01" 2015-01-26
"28" 2015-01-28 522 "Wed" "01" 2015-01-26
"29" 2015-01-29 601 "Thu" "01" 2015-01-26
"30" 2015-01-30 725 "Fri" "01" 2015-01-26
"31" 2015-01-31 1029 "Sat" "01" 2015-01-26
"32" 2015-02-01 1223 "Sun" "02" 2015-01-26
"33" 2015-02-02 516 "Mon" "02" 2015-02-02
"34" 2015-02-03 498 "Tue" "02" 2015-02-02
"35" 2015-02-04 524 "Wed" "02" 2015-02-02
"36" 2015-02-05 498 "Thu" "02" 2015-02-02
"37" 2015-02-06 622 "Fri" "02" 2015-02-02
"38" 2015-02-07 1108 "Sat" "02" 2015-02-02
"39" 2015-02-08 1115 "Sun" "02" 2015-02-02
"40" 2015-02-09 503 "Mon" "02" 2015-02-09
"41" 2015-02-10 531 "Tue" "02" 2015-02-09
"42" 2015-02-11 601 "Wed" "02" 2015-02-09
"43" 2015-02-12 545 "Thu" "02" 2015-02-09
"44" 2015-02-13 647 "Fri" "02" 2015-02-09
"45" 2015-02-14 1050 "Sat" "02" 2015-02-09
"46" 2015-02-15 907 "Sun" "02" 2015-02-09
"47" 2015-02-16 732 "Mon" "02" 2015-02-16
"48" 2015-02-17 608 "Tue" "02" 2015-02-16
"49" 2015-02-18 605 "Wed" "02" 2015-02-16
"50" 2015-02-19 559 "Thu" "02" 2015-02-16
"51" 2015-02-20 765 "Fri" "02" 2015-02-16
"52" 2015-02-21 1091 "Sat" "02" 2015-02-16
"53" 2015-02-22 1031 "Sun" "02" 2015-02-16
"54" 2015-02-23 565 "Mon" "02" 2015-02-23
"55" 2015-02-24 528 "Tue" "02" 2015-02-23
"56" 2015-02-25 600 "Wed" "02" 2015-02-23
"57" 2015-02-26 561 "Thu" "02" 2015-02-23
"58" 2015-02-27 730 "Fri" "02" 2015-02-23
"59" 2015-02-28 1141 "Sat" "02" 2015-02-23
"60" 2015-03-01 1061 "Sun" "03" 2015-02-23
"61" 2015-03-02 490 "Mon" "03" 2015-03-02
"62" 2015-03-03 502 "Tue" "03" 2015-03-02
"63" 2015-03-04 553 "Wed" "03" 2015-03-02
"64" 2015-03-05 605 "Thu" "03" 2015-03-02
"65" 2015-03-06 660 "Fri" "03" 2015-03-02
"66" 2015-03-07 1075 "Sat" "03" 2015-03-02
"67" 2015-03-08 1010 "Sun" "03" 2015-03-02
"68" 2015-03-09 700 "Mon" "03" 2015-03-09
"69" 2015-03-10 617 "Tue" "03" 2015-03-09
"70" 2015-03-11 743 "Wed" "03" 2015-03-09
"71" 2015-03-12 696 "Thu" "03" 2015-03-09
"72" 2015-03-13 776 "Fri" "03" 2015-03-09
"73" 2015-03-14 1244 "Sat" "03" 2015-03-09
"74" 2015-03-15 1149 "Sun" "03" 2015-03-09
"75" 2015-03-16 597 "Mon" "03" 2015-03-16
"76" 2015-03-17 641 "Tue" "03" 2015-03-16
"77" 2015-03-18 604 "Wed" "03" 2015-03-16
"78" 2015-03-19 631 "Thu" "03" 2015-03-16
"79" 2015-03-20 705 "Fri" "03" 2015-03-16
"80" 2015-03-21 1231 "Sat" "03" 2015-03-16
"81" 2015-03-22 1268 "Sun" "03" 2015-03-16
"82" 2015-03-23 613 "Mon" "03" 2015-03-23
"83" 2015-03-24 616 "Tue" "03" 2015-03-23
"84" 2015-03-25 631 "Wed" "03" 2015-03-23
"85" 2015-03-26 596 "Thu" "03" 2015-03-23
"86" 2015-03-27 846 "Fri" "03" 2015-03-23
"87" 2015-03-28 1271 "Sat" "03" 2015-03-23
"88" 2015-03-29 1260 "Sun" "03" 2015-03-23
"89" 2015-03-30 693 "Mon" "03" 2015-03-30
"90" 2015-03-31 692 "Tue" "03" 2015-03-30
"91" 2015-04-01 724 "Wed" "04" 2015-03-30
"92" 2015-04-02 811 "Thu" "04" 2015-03-30
"93" 2015-04-03 973 "Fri" "04" 2015-03-30
"94" 2015-04-04 1244 "Sat" "04" 2015-03-30
"95" 2015-04-05 1343 "Sun" "04" 2015-03-30
"96" 2015-04-06 930 "Mon" "04" 2015-04-06
"97" 2015-04-07 812 "Tue" "04" 2015-04-06
"98" 2015-04-08 757 "Wed" "04" 2015-04-06
"99" 2015-04-09 758 "Thu" "04" 2015-04-06
"100" 2015-04-10 929 "Fri" "04" 2015-04-06
"101" 2015-04-11 1547 "Sat" "04" 2015-04-06
"102" 2015-04-12 1502 "Sun" "04" 2015-04-06
"103" 2015-04-13 745 "Mon" "04" 2015-04-13
"104" 2015-04-14 779 "Tue" "04" 2015-04-13
"105" 2015-04-15 913 "Wed" "04" 2015-04-13
"106" 2015-04-16 877 "Thu" "04" 2015-04-13
"107" 2015-04-17 1204 "Fri" "04" 2015-04-13
"108" 2015-04-18 2191 "Sat" "04" 2015-04-13
"109" 2015-04-19 1656 "Sun" "04" 2015-04-13
"110" 2015-04-20 680 "Mon" "04" 2015-04-20
"111" 2015-04-21 755 "Tue" "04" 2015-04-20
"112" 2015-04-22 791 "Wed" "04" 2015-04-20
"113" 2015-04-23 684 "Thu" "04" 2015-04-20
"114" 2015-04-24 838 "Fri" "04" 2015-04-20
"115" 2015-04-25 1693 "Sat" "04" 2015-04-20
"116" 2015-04-26 1663 "Sun" "04" 2015-04-20
"117" 2015-04-27 780 "Mon" "04" 2015-04-27
"118" 2015-04-28 965 "Tue" "04" 2015-04-27
"119" 2015-04-29 996 "Wed" "04" 2015-04-27
"120" 2015-04-30 842 "Thu" "04" 2015-04-27
"121" 2015-05-01 1095 "Fri" "05" 2015-04-27
"122" 2015-05-02 1686 "Sat" "05" 2015-04-27
"123" 2015-05-03 2186 "Sun" "05" 2015-04-27
"124" 2015-05-04 1064 "Mon" "05" 2015-05-04
"125" 2015-05-05 1063 "Tue" "05" 2015-05-04
"126" 2015-05-06 1045 "Wed" "05" 2015-05-04
"127" 2015-05-07 1102 "Thu" "05" 2015-05-04
"128" 2015-05-08 1407 "Fri" "05" 2015-05-04
"129" 2015-05-09 2170 "Sat" "05" 2015-05-04
"130" 2015-05-10 2633 "Sun" "05" 2015-05-04
"131" 2015-05-11 1030 "Mon" "05" 2015-05-11
"132" 2015-05-12 954 "Tue" "05" 2015-05-11
"133" 2015-05-13 753 "Wed" "05" 2015-05-11
"134" 2015-05-14 1001 "Thu" "05" 2015-05-11
"135" 2015-05-15 1289 "Fri" "05" 2015-05-11
"136" 2015-05-16 1860 "Sat" "05" 2015-05-11
"137" 2015-05-17 1592 "Sun" "05" 2015-05-11
"138" 2015-05-18 917 "Mon" "05" 2015-05-18
"139" 2015-05-19 906 "Tue" "05" 2015-05-18
"140" 2015-05-20 793 "Wed" "05" 2015-05-18
"141" 2015-05-21 819 "Thu" "05" 2015-05-18
"142" 2015-05-22 1138 "Fri" "05" 2015-05-18
"143" 2015-05-23 1982 "Sat" "05" 2015-05-18
"144" 2015-05-24 2623 "Sun" "05" 2015-05-18
"145" 2015-05-25 2551 "Mon" "05" 2015-05-25
"146" 2015-05-26 1002 "Tue" "05" 2015-05-25
"147" 2015-05-27 777 "Wed" "05" 2015-05-25
"148" 2015-05-28 929 "Thu" "05" 2015-05-25
"149" 2015-05-29 1297 "Fri" "05" 2015-05-25
"150" 2015-05-30 2345 "Sat" "05" 2015-05-25
"151" 2015-05-31 1549 "Sun" "05" 2015-05-25
"152" 2015-06-01 623 "Mon" "06" 2015-06-01
"153" 2015-06-02 667 "Tue" "06" 2015-06-01
"154" 2015-06-03 849 "Wed" "06" 2015-06-01
"155" 2015-06-04 960 "Thu" "06" 2015-06-01
"156" 2015-06-05 1189 "Fri" "06" 2015-06-01
"157" 2015-06-06 2570 "Sat" "06" 2015-06-01
